empresa,tipo_proyecto,region,numero_rca,año_rca,categoria_compromiso,frecuencia_reporte,responsable_area,dias_restantes,historial_incumplimientos,cantidad_documentos,presupuesto_asociado_usd,criticidad,cumplimiento_porcentaje,estado_avance,riesgo_incumplimiento
Colbun,Parque Eolico,Los Lagos,RCA-2308,2019,Reforestacion,Trimestral,Permisos,120,2,21.0,95808,Alta,77,En Proceso,Medio
Engie,Subestacion,Metropolitana,RCA-3986,2012,Ruido,Semestral,Operacion,285,1,22.0,40997,Baja,90,Completado,Bajo
Enel,Subestacion,Los Lagos,RCA-1386,2020,Flora y Fauna,Semestral,Medio Ambiente,353,3,17.0,88716,Alta,79,En Proceso,Medio
Engie,Linea de Transmision,Antofagasta,RCA-7131,2012,Reforestacion,Semestral,Territorio,236,1,5.0,115304,Baja,94,Completado,Bajo
Engie,Linea de Transmision,Biobio,RCA-4258,2021,Calidad de Aguas,Mensual,Construccion,115,2,6.0,69180,Media,66,En Proceso,Bajo
CGE,Parque Eolico,Valparaiso,RCA-7121,2024,Calidad de Aguas,Mensual,Operacion,356,0,10.0,96367,Alta,89,Completado,Medio
Enel,Subestacion,Atacama,RCA-5811,2010,Calidad de Aguas,Mensual,Medio Ambiente,16,3,2.0,5871,Alta,3,Pendiente,Alto
Enel,Subestacion,Valparaiso,RCA-7574,2024,Emisiones Atmosfericas,Mensual,Permisos,25,3,7.0,50846,Alta,29,Pendiente,Alto
Enel,Parque Eolico,Valparaiso,RCA-7697,2019,Calidad de Aguas,Anual,Medio Ambiente,131,0,4.0,134873,Alta,89,Completado,Medio
Engie,Parque Eolico,Coquimbo,RCA-4933,2010,Arqueologia,Trimestral,Operacion,289,2,37.0,94081,Media,89,Completado,Bajo
Colbun,Linea de Transmision,Biobio,RCA-2439,2015,Ruido,Mensual,Permisos,125,0,19.0,80456,Media,77,En Proceso,Bajo
Enel,Parque Solar,Coquimbo,RCA-7169,2023,Calidad de Aguas,Mensual,,128,1,28.0,121015,Alta,69,En Proceso,Medio
AES Andes,Linea de Transmision,Los Lagos,RCA-5480,2023,Reforestacion,Mensual,Construccion,37,2,20.0,47231,Media,43,En Proceso,Bajo
Engie,Parque Eolico,Valparaiso,RCA-1055,2010,Arqueologia,Trimestral,Territorio,174,0,30.0,106730,Media,95,Completado,Bajo
