empresa,tipo_proyecto,region,numero_rca,año_rca,categoria_compromiso,frecuencia_reporte,responsable_area,dias_restantes,historial_incumplimientos,cantidad_documentos,presupuesto_asociado_usd,criticidad,cumplimiento_porcentaje,estado_avance,riesgo_incumplimiento
Colbun,Parque Eolico,Los Lagos,RCA-2308,2019,Reforestacion,Trimestral,Permisos,120,2,21.0,95808.0,Alta,77,En Proceso,Medio
Engie,Subestacion,Metropolitana,RCA-3986,2012,Ruido,Semestral,Operacion,285,1,22.0,40997.0,Baja,90,Completado,Bajo
Enel,Subestacion,Los Lagos,RCA-1386,2020,Flora y Fauna,Semestral,Medio Ambiente,353,3,17.0,88716.0,Alta,79,En Proceso,Medio
Engie,Linea de Transmision,Antofagasta,RCA-7131,2012,Reforestacion,Semestral,Territorio,236,1,5.0,115304.0,Baja,94,Completado,Bajo
Engie,Linea de Transmision,Biobio,RCA-4258,2021,Calidad de Aguas,Mensual,Construccion,115,2,6.0,69180.0,Media,66,En Proceso,Bajo
CGE,Parque Eolico,Valparaiso,RCA-7121,2024,Calidad de Aguas,Mensual,Operacion,356,0,10.0,96367.0,Alta,89,Completado,Medio
Enel,Subestacion,Atacama,RCA-5811,2010,Calidad de Aguas,Mensual,Medio Ambiente,16,3,2.0,5871.0,Alta,3,Pendiente,Alto
Enel,Subestacion,Valparaiso,RCA-7574,2024,Emisiones Atmosfericas,Mensual,Permisos,25,3,7.0,50846.0,Alta,29,Pendiente,Alto
Enel,Parque Eolico,Valparaiso,RCA-7697,2019,Calidad de Aguas,Anual,Medio Ambiente,131,0,4.0,134873.0,Alta,89,Completado,Medio
Engie,Parque Eolico,Coquimbo,RCA-4933,2010,Arqueologia,Trimestral,Operacion,289,2,37.0,94081.0,Media,89,Completado,Bajo
Colbun,Linea de Transmision,Biobio,RCA-2439,2015,Ruido,Mensual,Permisos,125,0,19.0,80456.0,Media,77,En Proceso,Bajo
Enel,Parque Solar,Coquimbo,RCA-7169,2023,Calidad de Aguas,Mensual,Permisos,128,1,28.0,121015.0,Alta,69,En Proceso,Medio
AES Andes,Linea de Transmision,Los Lagos,RCA-5480,2023,Reforestacion,Mensual,Construccion,37,2,20.0,47231.0,Media,43,En Proceso,Bajo
Engie,Parque Eolico,Valparaiso,RCA-1055,2010,Arqueologia,Trimestral,Territorio,174,0,30.0,106730.0,Media,95,Completado,Bajo
CGE,Parque Solar,Atacama,RCA-4324,2014,Arqueologia,Semestral,Territorio,81,2,38.0,53562.0,Alta,52,En Proceso,Medio
Colbun,Central Hidroelectrica,Valparaiso,RCA-7777,2013,Arqueologia,Semestral,Operacion,301,0,20.0,77366.0,Alta,71,En Proceso,Medio
AES Andes,Linea de Transmision,Biobio,RCA-1105,2014,Residuos,Anual,Permisos,334,1,3.0,34378.0,Media,71,En Proceso,Bajo
AES Andes,Linea de Transmision,Coquimbo,RCA-4201,2016,Reforestacion,Mensual,Permisos,67,2,20.0,65409.0,Alta,63,En Proceso,Medio
CGE,Linea de Transmision,Atacama,RCA-1669,2015,Residuos,Mensual,Territorio,274,0,25.0,108091.0,Media,85,Completado,Bajo
Colbun,Linea de Transmision,Valparaiso,RCA-9934,2021,Arqueologia,Mensual,Medio Ambiente,220,1,2.0,62235.0,Alta,65,En Proceso,Medio
Engie,Linea de Transmision,Metropolitana,RCA-1966,2018,Emisiones Atmosfericas,Mensual,Permisos,194,1,39.0,87326.0,Alta,96,Completado,Medio
Transelec,Central Hidroelectrica,Biobio,RCA-1307,2015,Calidad de Aguas,Anual,Construccion,79,2,15.0,62831.0,Alta,44,En Proceso,Medio
Colbun,Linea de Transmision,Biobio,RCA-3138,2018,Ruido,Trimestral,Construccion,178,1,3.0,85766.0,Alta,98,Completado,Medio
CGE,Linea de Transmision,Metropolitana,RCA-1109,2013,Reforestacion,Semestral,Permisos,71,3,5.0,93619.0,Alta,48,En Proceso,Medio
AES Andes,Parque Eolico,Valparaiso,RCA-4632,2010,Emisiones Atmosfericas,Trimestral,Permisos,97,0,36.0,58047.0,Alta,99,Completado,Medio
Engie,Subestacion,Biobio,RCA-7728,2010,Flora y Fauna,Mensual,Territorio,57,0,38.0,53365.0,Alta,76,En Proceso,Medio
Colbun,Parque Eolico,Atacama,RCA-6684,2019,Residuos,Mensual,Operacion,98,1,37.0,64944.0,Alta,82,Completado,Medio
Transelec,Linea de Transmision,Valparaiso,RCA-7499,2016,Calidad de Aguas,Trimestral,Territorio,117,0,27.0,64399.0,Alta,95,Completado,Medio
Transelec,Subestacion,Valparaiso,RCA-2915,2022,Calidad de Aguas,Semestral,Operacion,233,0,5.0,24399.0,Media,72,En Proceso,Bajo
Enel,Linea de Transmision,Coquimbo,RCA-1556,2025,Flora y Fauna,Mensual,Construccion,254,1,17.0,83373.0,Media,90,Completado,Bajo
Enel,Linea de Transmision,Biobio,RCA-8619,2022,Flora y Fauna,Semestral,Operacion,213,0,38.0,84540.0,Media,96,Completado,Bajo
CGE,Central Hidroelectrica,Biobio,RCA-1104,2022,Reforestacion,Semestral,Territorio,186,1,12.0,30083.0,Media,85,Completado,Bajo
Colbun,Linea de Transmision,Metropolitana,RCA-3047,2012,Calidad de Aguas,Trimestral,Permisos,271,0,31.0,95974.0,Alta,77,En Proceso,Medio
Colbun,Parque Solar,Coquimbo,RCA-1145,2011,Flora y Fauna,Semestral,Operacion,285,3,33.0,65005.0,Alta,92,Completado,Medio
AES Andes,Subestacion,Los Lagos,RCA-1873,2025,Calidad de Aguas,Trimestral,Territorio,159,2,29.0,83207.0,Media,99,Completado,Bajo
